Abbreviation,Name
ALG,Algeria
ARG,Argentina
AUS,Australia
AZE,Azerbaijan
BEL,Belgium
BLR,Belarus
BRN,Bahrain
BRU,Brunei
BUL,Bulgaria
CAN,Canada
CHN,China
CMR,Cameroon
COM,Comoros
CUB,Cuba
DJI,Djibouti
EGY,Egypt
ERI,Eritrea
ESP,Spain
EST,Estonia
ETH,Ethiopia
FIN,Finland
FRA,France
GRE,Greece
HUN,Hungary
INA,Indonesia
IRI,Iran
IRL,Ireland
IRQ,Iraq
ITA,Italy
JOR,Jordan
KAZ,Kazakhstan
KSA,Saudi Arabia
KUW,Kuwait
LBA,Libya
LIB,Lebanon
MAR,Morocco
MAS,Malaysia
MDV,Maldives
MEX,Mexico
NCA,Nicaragua
NED,Netherlands
NGR,Nigeria
NOR,Norway
PAK,Pakistan
QAT,Qatar
ROU,Romania
RSA,South Africa
RUS,Russia
SUD,Sudan
TAN,Tanzania
TUN,Tunisia
URS,Soviet Union
USA,United States
